Name,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
206 HERSILIA,8.68,0.15,239.38905,297.87277,145.42093,3.773106,0.0397531,2.7409966,48800
207 HEDDA,9.92,0.15,43.078717,192.17553,29.410191,3.809567,0.02877,2.2837075,48800
208 LACRIMOSA,8.96,0.15,240.45798,114.70365,4.861302,1.754457,0.0103892,2.8936007,48800
209 DIDO,8.24,0.15,189.59803,255.73787,1.025873,7.194742,0.067389,3.1424802,48800
210 ISABELLA,9.33,0.15,24.365673,12.976131,33.01488,5.272385,0.1220485,2.7219652,48800
211 ISOLDA,7.89,0.12,62.423363,175.7462,264.15762,3.87259,0.1564434,3.0477914,48800
212 MEDEA,8.28,0.15,248.50879,101.53909,313.95481,4.280527,0.1180442,3.10901,48800
213 LILAEA,8.64,0.15,100.43109,162.25232,122.31092,6.802316,0.1478102,2.7513693,48800
214 ASCHERA,9.5,0.51,270.43678,132.78117,342.49056,3.434672,0.0285993,2.6117738,48800
215 OENONE,9.59,0.15,4.256822,317.93874,25.259981,1.693498,0.0369027,2.7667882,48800
216 KLEOPATRA,7.3,0.29,163.17405,179.50532,215.71104,13.125926,0.2513535,2.7940635,48800
217 EUDORA,9.8,0.15,8.33391,154.52816,163.21059,10.474008,0.3079056,2.8704401,48800
218 BIANCA,8.6,0.32,341.13508,60.805653,170.96925,15.218742,0.1139861,2.6679775,48800
219 THUSNELDA,9.32,0.15,357.14408,142.2296,201.0468,10.846088,0.2249947,2.3537371,48800
220 STEPHANIA,11,0.15,239.76513,78.377762,258.19436,7.589536,0.2565412,2.3494705,48800
221 EOS,7.67,0.13,206.94978,193.99375,142.27323,10.86469,0.0961302,3.0182446,48800
222 LUCIA,9.13,0.15,228.25971,179.629,80.490538,2.160469,0.1468352,3.1287383,48800
223 ROSA,9.68,0.15,156.8287,59.288837,48.386759,1.944837,0.1303987,3.0851961,48800
224 OCEANA,8.59,0.15,148.6073,280.97846,353.33124,5.84751,0.0461193,2.6444221,48800
225 HENRIETTA,8.72,0.15,205.43982,104.95832,197.35054,20.907625,0.274407,3.3736168,48800
226 WERINGIA,9.75,0.15,235.30378,152.56013,135.41909,15.931533,0.202536,2.71457,48800
227 PHILOSOPHIA,8.7,0.15,325.86526,261.33528,328.20201,9.14308,0.2073293,3.1435824,48800
228 AGATHE,12.48,0.15,224.23341,18.505474,313.67821,2.539791,0.2412144,2.2023664,48800
229 ADELINDA,9.13,0.15,145.03938,311.07583,28.493039,2.11406,0.1575611,3.4044751,48800
230 ATHAMANTIS,7.35,0.27,277.40228,139.25432,240.05892,9.439106,0.0618458,2.3822429,48800
